rs,name,lon,lat
100000,Torshavn,-6.758,62.03
355,Klaksvik,-6.579,62.229
296,Vestmanna,-7.16,62.156
1058,Vagur,-6.81,61.474
172,Tvoeroyri,-6.804,61.555
172,Saltangara,-6.717,62.12
206,Midvagur,-7.2,62.054
247,Vidareidi,-6.534,62.36
120,Hvannasund,-6.515,62.295
120,Oyndarfjoerdur,-6.851,62.279
613,Eidi,-7.095,62.301
120,Selatrad,-6.877,62.16
144,Koltur,-6.97,61.989
355,Mykines,-7.647,62.104
144,Skopun,-6.884,61.904
355,Sandur,-6.816,61.835
144,Dalur,-6.681,61.784
144,Hvalba,-6.952,61.604
172,Sumba,-6.714,61.406
