rs,name,lon,lat,r1
172,Morosaglia,9.208,42.464,172
120,Morannes sur Sarthe-Daumeray,-0.417,47.744,100
355,Romorantin-Lanthenay,1.747,47.359,247
206,Montmoreau,0.131,45.396,206
247,Montval-sur-Loir,0.419,47.695,0
144,Boischampre,0.006,48.666,100
613,Cosne-Cours-sur-Loire,2.925,47.41,355
172,Thizy-les-Bourgs,4.309,46.032,172
296,Bauge-en-Anjou,-0.1,47.54,172
426,Saint-Amand-Montrond,2.507,46.721,426
247,Aubigny-sur-Nere,2.441,47.489,247
144,Saint-Satur,2.853,47.34,100
144,Daluis,6.812,44.027,100
426,Royan,-1.042,45.623,355
120,Avricourt,6.807,48.65,100
206,Grayan-et-l'Hopital,-1.084,45.445,100
144,Fretigney-et-Velloreille,5.946,47.487,100
206,Tignes,6.91,45.469,172
206,Bar-sur-Seine,4.374,48.114,0
355,Cambrai,3.235,50.176,247
247,Vallet,-1.265,47.162,206
172,Saint-Philbert-de-Grand-Lieu,-1.641,47.038,0
120,Nueil-les-Aubiers,-0.589,46.936,120
247,Seuil-d'Argonne,5.062,48.978,144
144,Beaumontois en Perigord,0.767,44.77,100
120,Pont-de-Buis-les-Quimerch,-4.089,48.255,100
172,Ferrieres-en-Gatinais,2.79,48.09,100
120,Neussargues en Pinatelle,2.979,45.126,100
296,Lussan,4.367,44.154,172
426,Nimes,4.36,43.837,426
355,Uzes,4.42,44.014,206
120,Saint-Andre-de-Valborgne,3.683,44.156,100
247,Val-d'Aigoual,3.641,44.081,172
172,Moussac,4.227,43.981,172
1826,Ales,4.077,44.125,355
144,Meyrueis,3.43,44.181,0
206,Florac Trois Rivieres,3.594,44.324,0
172,Monts-de-Randon,3.478,44.633,144
120,Le Buisson,3.235,44.627,0
120,Nasbinals,3.047,44.663,120
120,Les Bondons,3.617,44.387,100
426,Mende,3.502,44.518,0
144,Serverette,3.389,44.702,100
426,Saint-Chely-d'Apcher,3.275,44.802,296
247,Langogne,3.855,44.727,0
206,Mont Lozere et Goulet,3.736,44.487,172
120,Pelouse,3.617,44.568,100
1522,Brive-la-Gaillarde,1.534,45.16,882
144,Cublac,1.306,45.144,144
206,Argentat-sur-Dordogne,1.938,45.093,206
247,Uzerche,1.564,45.424,206
247,Egletons,2.046,45.406,247
120,Lubersac,1.403,45.444,0
120,Chamboulive,1.703,45.431,120
172,Chamberet,1.721,45.582,172
206,Peyrelevade,2.05,45.706,206
120,Liginiac,2.332,45.416,0
144,Aix,2.383,45.615,100
355,Bort-les-Orgues,2.495,45.401,206
120,Maussac,2.141,45.471,100
355,Ussel,2.312,45.546,0
206,Allassac,1.476,45.257,120
172,Tulle,1.772,45.266,0
206,Houeilles,0.033,44.195,0
426,Marmande,0.167,44.499,355
120,Monflanquin,0.768,44.533,0
172,Laugnac,0.606,44.306,120
206,Aiguillon,0.339,44.302,120
144,Anzex,0.166,44.284,120
172,Miramont-de-Guyenne,0.361,44.602,172
120,Tournon-d'Agenais,0.996,44.4,120
296,Nerac,0.339,44.136,247
426,Villeneuve-sur-Lot,0.706,44.41,247
247,Tonneins,0.308,44.391,144
144,Lasserre,0.393,44.066,100
172,Astaffort,0.652,44.065,172
120,Gontaud-de-Nogaret,0.295,44.455,100
247,Saverdun,1.576,43.234,144
144,Ustou,1.264,42.799,100
206,Val-de-Sos,1.499,42.768,100
247,Seix,1.202,42.864,144
120,Tarascon-sur-Ariege,1.605,42.849,120
172,Galey,0.915,42.936,0
172,Massat,1.348,42.888,144
144,Querigut,2.097,42.699,144
247,Ax-les-Thermes,1.837,42.72,206
144,Aigues-Vives,1.876,42.997,100
206,Mirepoix,1.874,43.088,206
144,Varilhes,1.628,43.046,100
1058,Pamiers,1.608,43.115,426
144,Le Mas-d'Azil,1.362,43.079,0
120,Gaudies,1.731,43.175,120
120,Unzent,1.528,43.174,100
172,Bram,2.114,43.245,144
144,Espezel,2.021,42.821,144
120,Rivel,2,42.943,100
296,Limoux,2.218,43.053,172
296,Quillan,2.185,42.875,206
511,Carcassonne,2.353,43.212,0
247,Albieres,2.478,42.947,206
120,Monze,2.46,43.157,100
247,Taurize,2.505,43.076,100
120,Gaja-la-Selve,1.896,43.195,120
511,Port-la-Nouvelle,3.042,43.02,206
247,Leucate,3.027,42.909,144
296,Castelnaudary,1.953,43.317,296
172,Gruissan,3.086,43.106,100
296,Narbonne,3.004,43.184,206
172,Paimpol,-3.048,48.78,0
613,Lannion,-3.458,48.732,511
120,Pontrieux,-3.162,48.697,100
172,Plouha,-2.931,48.676,144
120,Louargat,-3.339,48.567,100
247,Guingamp,-3.147,48.561,247
172,Begard,-3.299,48.63,100
120,Pledran,-2.745,48.446,100
144,Quintin,-2.912,48.403,120
247,Callac,-3.427,48.404,144
144,Lohuec,-3.52,48.46,100
144,Plesidy,-3.121,48.448,144
120,Cohiniac,-2.95,48.462,100
120,Lamballe-Armor,-2.516,48.469,0
172,Loudeac,-2.751,48.177,0
172,Broons,-2.261,48.317,0
355,Le Mene,-2.521,48.295,206
120,Saint-Nicolas-du-Pelem,-3.163,48.315,0
144,Rostrenen,-3.32,48.237,0
120,Bon Repos sur Blavet,-3.122,48.242,100
120,Pleneuf-Val-Andre,-2.54,48.586,0
172,Plancoet,-2.235,48.522,144
120,Henansal,-2.434,48.541,100
120,Le Hingle,-2.082,48.394,100
355,Dinan,-2.046,48.454,247
426,Niort,-0.464,46.324,0
172,Aigondigne,-0.288,46.295,120
426,Bressuire,-0.492,46.842,296
144,Cerizay,-0.669,46.821,120
206,Chef-Boutonne,-0.072,46.11,144
120,Plaine-d'Argenson,-0.483,46.155,0
296,Melle,-0.142,46.223,247
144,Mauze-sur-le-Mignon,-0.67,46.197,100
144,Le Retail,-0.444,46.562,0
247,Laragne-Monteglin,5.822,44.315,144
206,Rosans,5.47,44.392,206
1269,Gap,6.08,44.559,735
511,Embrun,6.496,44.564,355
206,Tallard,6.057,44.464,120
144,Espinasses,6.223,44.467,100
613,Briancon,6.644,44.898,511
247,Nevache,6.605,45.019,144
206,L'Argentiere-la-Bessee,6.559,44.793,120
247,Saint-Bonnet-en-Champsaur,6.078,44.683,144
355,Saint-Veran,6.869,44.701,247
206,Serres,5.715,44.428,120
120,La Beaume,5.637,44.553,0
247,Veynes,5.824,44.535,206
172,Chorges,6.275,44.546,172
355,Annonay,4.668,45.24,247
120,Saint-Felicien,4.628,45.087,0
296,Le Cheylard,4.423,44.906,206
144,Gluiras,4.523,44.847,100
144,Coucouron,3.971,44.804,100
120,Lanarce,4.002,44.729,100
206,Cruas,4.765,44.657,120
144,Thueyts,4.222,44.676,144
296,Aubenas,4.39,44.621,296
426,Borne,4.015,44.615,144
120,Largentiere,4.292,44.542,100
206,Usson-en-Forez,3.941,45.389,172
144,Joyeuse,4.24,44.48,100
511,Les Vans,4.132,44.405,247
144,Saint-Paul-le-Jeune,4.151,44.34,100
296,Hauterives,5.027,45.256,172
144,Marsaz,4.944,45.117,100
120,Portes-les-Valence,4.878,44.875,100
120,Gigors-et-Lozeron,5.108,44.794,100
120,Die,5.369,44.753,0
144,Divajeu,5.005,44.705,144
355,Chatillon-en-Diois,5.485,44.695,100
172,Luc-en-Diois,5.453,44.614,100
735,Montelimar,4.75,44.557,426
206,Dieulefit,5.066,44.526,172
120,La Motte-Chalancon,5.38,44.486,120
144,Donzere,4.708,44.444,100
120,Nyons,5.14,44.362,120
206,Pierrelatte,4.699,44.376,120
120,Piegon,5.127,44.301,100
206,Laborel,5.595,44.292,120
511,Dole,5.489,47.091,355
206,Salins-les-Bains,5.877,46.939,144
120,Tassenieres,5.516,46.922,0
206,Poligny,5.709,46.837,172
296,Lons-le-Saunier,5.559,46.672,0
120,Pont-de-Poitte,5.696,46.586,100
120,Val-Sonnette,5.48,46.6,100
172,Orgelet,5.612,46.522,172
355,Hauts de Bienne,6.022,46.521,247
120,Nanchez,5.867,46.508,120
120,Premanon,6.031,46.463,100
247,Tarare,4.434,45.895,247
144,Cours,4.321,46.1,100
144,Belleville-en-Beaujolais,4.745,46.11,144
120,Amplepuis,4.331,45.973,100
120,Givors,4.774,45.583,100
120,Condrieu,4.768,45.464,100
206,Pont-de-Vaux,4.938,46.43,144
296,Gex,6.058,46.334,172
120,Marboz,5.257,46.342,100
206,Arbent,5.682,46.295,172
120,Saint-Genis-Pouilly,6.025,46.244,100
144,Saint-Etienne-du-Bois,5.293,46.288,100
426,Bourg-en-Bresse,5.225,46.205,426
120,Echallon,5.741,46.21,100
120,Challex,5.972,46.181,100
172,Nantua,5.606,46.155,172
247,Valserhone,5.826,46.108,247
144,Vieu-d'Izenave,5.53,46.081,100
206,Amberieu-en-Bugey,5.36,45.958,0
296,Gisors,1.778,49.279,247
144,Heudicourt,1.662,49.335,100
247,Pont-Audemer,0.517,49.357,247
144,Epaignes,0.44,49.279,100
120,Vesly,1.653,49.241,100
120,Vexin-sur-Epte,1.604,49.159,100
172,Gaillon,1.334,49.161,120
144,Surville,1.103,49.198,120
120,La Pyle,0.895,49.2,120
206,Brionne,0.722,49.193,120
120,Hondouville,1.121,49.14,100
247,Bernay,0.598,49.089,0
120,Thiberville,0.456,49.138,100
296,Vernon,1.485,49.093,172
882,Evreux,1.152,49.027,426
172,Mesnil-en-Ouche,0.705,49.013,100
