rs,name,lon,lat,r1
2940,Saint-Georges,-51.8,3.889,331
476,Apatou,-54.342,5.157,94
134,Mana,-53.776,5.667,66
3528,Saint-Laurent-du-Maroni,-54.028,5.504,476
476,Saint-Elie,-53.287,4.826,112
100000,Cayenne,-52.334,4.939,0
160,Montsinery-Tonnegrande,-52.492,4.893,24
571,Iracoubo,-53.204,5.48,66
822,Kourou,-52.642,5.158,112
331,Macouria,-52.473,5.013,39
1419,Sinnamary,-52.958,5.378,112
160,Matoury,-52.33,4.851,20
397,Roura,-52.323,4.728,28
1419,Regina,-52.128,4.314,134
397,Ouanary,-51.671,4.209,55
230,Awala-Yalimapo,-53.907,5.736,39
2042,Saul,-53.207,3.623,160
1419,Maripasoula,-54.027,3.641,397
822,Camopi,-52.33,3.167,160
1702,Grand-Santi,-54.381,4.273,134
79,Remire-Montjoly,-52.275,4.905,20
476,Papaichton,-54.148,3.81,55
