rs,name,lon,lat,r1
414,Bryne,5.653,58.734,200
1027,Egersund,5.999,58.448,240
1027,Kristiansand,7.999,58.147,856
240,Vennesla,7.976,58.268,200
345,Mandal,7.455,58.029,240
345,Flekkefjord,6.665,58.295,288
595,Arendal,8.775,58.466,345
240,Grimstad,8.594,58.344,200
240,Notodden,9.265,59.561,200
856,Krageroe,9.413,58.872,240
496,Porsgrunn/Skien,9.614,59.179,496
288,Larvik,10.053,59.051,200
288,Toensberg,10.409,59.268,288
288,Kongsberg,9.651,59.671,240
414,Hoenefoss,10.257,60.166,200
345,Drammen,10.222,59.743,200
714,Lillehammer,10.459,61.12,240
240,Gjoevik,10.692,60.794,200
1773,Hamar,11.079,60.795,714
345,Elverum,11.562,60.886,200
414,Kongsvinger,11.996,60.186,345
100000,Oslo,10.723,59.916,100000
288,Raaholt,11.176,60.284,200
496,Jessheim,11.173,60.146,200
345,Fetsund,11.161,59.928,200
345,Ski,10.837,59.717,200
345,Moss,10.658,59.434,200
288,Askim,11.166,59.584,200
1232,Fredrikstad/Sarpsborg,11.106,59.28,496
345,Halden,11.386,59.122,200
345,Sand,6.254,59.487,200
240,Hauge,6.288,58.344,200
414,Skjold,19.295,69.027,200
414,Leknes,13.629,68.146,288
240,Sand,11.538,60.393,200
414,Fagernes,9.237,60.988,240
288,Dale,5.82,60.585,200
345,Dale,5.396,61.36,200
240,Sande,5.795,61.323,200
288,Boe,14.466,68.616,200
288,Husoey,12.096,66.503,200
414,Roed,10.943,59.075,200
2127,Foerde,5.848,61.456,856
414,Haegeland,7.742,58.384,200
288,Moi,6.55,58.458,200
240,Lyngdal,7.068,58.137,200
288,Mehamn,27.851,71.035,200
240,Breivikbotn,22.294,70.59,200
496,Deanusaldi,28.191,70.199,414
595,Kirkenes,30.042,69.728,240
856,Lakselv,24.947,70.053,414
595,Brekstad,9.665,63.689,288
414,Fillan,8.974,63.605,240
1027,Oppdal,9.693,62.595,714
240,Sistranda,8.828,63.728,200
288,Rakkestad,11.342,59.427,200
288,Aakrehamn,5.191,59.261,200
714,Sogndalsfjoera,7.095,61.231,496
496,Lyngseidet,20.217,69.572,200
345,Skibotn,20.274,69.392,200
288,Gibostad,18.075,69.356,200
288,Andselv,18.522,69.07,200
414,Myre,15.086,68.916,200
714,Setermoen,18.351,68.861,288
240,Bjerkvik,17.557,68.552,200
240,Ballangen,16.828,68.341,200
345,Rognan,15.395,67.102,200
345,Inndyr,14.033,67.035,200
345,Lovund,12.36,66.368,240
595,Nesna,13.025,66.195,200
345,Korgen,13.811,66.076,200
414,Gladstad,11.959,65.678,200
288,Hattfjelldal,13.999,65.597,200
414,Trofors,13.405,65.534,240
288,Moelv,10.702,60.932,200
240,Gata,11.346,60.682,200
714,Flisa,12.012,60.613,200
414,Skotterud,12.125,59.984,200
595,Tynset,10.777,62.272,240
714,Hansnes,19.613,69.962,288
414,Storsteinnes,19.218,69.237,200
288,Gryllefjord,17.05,69.361,288
288,Tennevoll,17.807,68.748,200
240,Grov,17.125,68.674,200
