rs,name,lon,lat,r1
595,Anderlecht,4.329,50.839,200
3062,Arlon,5.817,49.684,200
240,Athus,5.83,49.561,200
345,Bastogne,5.718,50.002,200
240,Beauraing,4.956,50.11,200
414,Bertrix,5.256,49.855,200
345,Couvin,4.492,50.056,200
595,Essen,4.472,51.465,200
288,Gemmenich,5.995,50.746,200
595,Genk,5.495,50.965,200
414,Huy,5.241,50.518,200
240,Juseret,5.548,49.88,200
288,Maaseik,5.792,51.095,200
345,Mechelen,4.481,51.028,200
240,Morkhoven,4.821,51.119,200
240,Poperinge,2.728,50.855,200
240,Rienne,4.889,49.993,200
288,Soumoy,4.437,50.189,200
345,Tongeren,5.464,50.781,200
240,Virton,5.531,49.567,200
288,Meer,4.977,50.773,200
288,Edingen,4.04,50.693,200
100000,Antwerpen,4.432,51.192,0
1232,Liège,5.566,50.629,200
714,Gent,3.731,51.053,200
714,Charleroi,4.461,50.416,200
414,Brugge,3.226,51.206,200
240,Leuven,4.71,50.876,200
288,Verviers,5.866,50.591,200
414,Roeselare,3.126,50.947,200
345,Turnhout,4.948,51.319,200
1027,Tournai,3.388,50.61,200
496,Marche-en-Famenne,5.333,50.209,200
345,Dinant,4.914,50.257,200
345,Perwez,4.79,50.633,200
