rs,name,lon,lat,r1
100000,Beograd,20.454,44.786,0
901,Novi Sad,19.799,45.255,123
2688,Niš,21.905,43.32,303
1081,Kragujevac,20.902,44.009,176
2688,Subotica,19.662,46.096,211
901,Novi Pazar,20.505,43.139,211
211,Pančevo,20.657,44.868,50
435,Zrenjanin,20.393,45.375,103
626,Kraljevo,20.676,43.722,72
176,Borča,20.472,44.866,50
363,Čačak,20.353,43.887,60
522,Kruševac,21.327,43.574,86
626,Leskovac,21.942,42.996,72
901,Valjevo,19.905,44.276,86
751,Šabac,19.69,44.749,103
1556,Vranje,21.898,42.55,103
435,Smederevo,20.925,44.652,50
1867,Užice,19.843,43.855,86
522,Pirot,22.59,43.158,103
147,Batajnica,20.277,44.904,50
176,Požarevac,21.185,44.619,50
253,Jagodina,21.26,43.978,60
901,Zaječar,22.272,43.904,147
751,Sombor,19.11,45.776,86
626,Kikinda,20.463,45.829,103
363,Sremska Mitrovica,19.61,44.973,50
147,Zeleznik,20.373,44.723,50
901,Vršac,21.299,45.12,103
303,Bor,22.104,44.065,50
522,Loznica,19.229,44.537,72
103,Ruma,19.818,45.007,50
211,Bačka Palanka,19.388,45.248,60
211,Paraćin,21.413,43.86,50
253,Prokuplje,21.596,43.241,50
253,Inđija,20.077,45.048,50
522,Vrbas,19.646,45.571,72
626,Smederevska Palanka,20.961,44.371,60
211,Arandjelovac,20.562,44.309,72
211,Gornji Milanovac,20.461,44.027,50
103,Stara Pazova,20.159,44.987,50
103,Ćuprija,21.379,43.932,50
303,Temerin,19.891,45.408,50
435,Ada,20.13,45.784,50
253,Apatin,18.984,45.671,50
626,Knjaževac,22.265,43.57,72
303,Senta,20.082,45.927,50
751,Negotin,22.529,44.229,72
626,Priboj,19.533,43.568,72
363,Becej,20.038,45.619,50
72,Nova Pazova,20.218,44.944,50
303,Aleksinac,21.704,43.54,50
435,Kuršumlija,21.266,43.138,50
147,Vlasotince,22.131,42.966,50
435,Sjenica,20.006,43.276,86
1867,Kladovo,22.615,44.614,103
363,Vladičin Han,22.072,42.707,50
86,Gorica,20.386,44.682,50
751,Šid,19.227,45.127,50
147,Кула,19.528,45.608,50
253,Trstenik,21.004,43.617,60
123,Surcin,20.278,44.794,50
303,Bačka Topola,19.633,45.817,50
211,Bujanovac,21.759,42.469,50
363,Tutin,20.331,42.988,50
253,Arilje,20.097,43.751,50
60,Surdulica,22.174,42.69,50
211,Kovin,20.978,44.744,50
60,Velika Plana,21.071,44.331,50
303,Raška,20.617,43.285,50
147,Жабаљ,20.074,45.373,50
60,Vrnjačka Banja,20.898,43.625,50
211,Svilajnac,21.195,44.234,50
123,Kać-Каћ,19.941,45.304,50
253,Kanjiza,20.052,46.063,50
60,Palić,19.75,46.11,50
176,Požega,20.039,43.844,50
176,Bajina Bašta,19.564,43.973,50
176,Чуруг,20.066,45.47,50
253,Dimitrovgrad,22.763,43.014,50
147,Srbobran,19.795,45.549,50
363,Ivanjica,20.234,43.578,50
435,Ub,20.073,44.459,50
60,Sremska Kamenica-Сремска Каменица,19.848,45.223,50
176,Petrovac na Mlavi,21.418,44.378,50
176,Bela Palanka,22.314,43.221,50
253,Sivac,19.38,45.705,50
60,Dobanovci,20.227,44.827,50
123,Ripanj,20.514,44.647,50
435,Bela Crkva,21.423,44.902,50
435,Kacarevo,20.7,44.965,50
176,Kostolac,21.167,44.711,50
211,Cantavir,19.768,45.918,50
176,Lajkovac,20.166,44.371,50
176,Bajmok-Бајмок,19.418,45.973,50
103,Novi Bečej,20.136,45.598,50
123,Lapovo Municipality-Lapovo,21.1,44.185,50
253,Nova Varoš,19.817,43.462,50
72,Banatsko Novo Selo,20.784,44.991,50
60,Sevojno,19.895,43.845,50
211,Prijepolje,19.63,43.368,50
303,Aleksandrovac,21.049,43.46,50
211,Lebane,21.734,42.917,50
211,Mali Iđoš,19.694,45.673,50
435,Guncati,20.412,44.595,50
211,Grocka,20.714,44.674,50
176,Backo Petrovo Selo,20.081,45.707,50
86,Jabuka,20.6,44.949,50
72,Rumenka,19.742,45.295,50
176,Omoljica,20.739,44.76,50
303,Kovačica,20.621,45.112,50
86,Crvenka,19.457,45.658,50
72,Vrčin,20.595,44.667,50
72,Ugrinovci,20.189,44.875,50
176,Grdelica,22.07,42.891,50
147,Dolovo,20.88,44.903,50
123,Zrenjanin,20.447,45.311,50
72,Batočina,21.083,44.154,50
147,Bački Petrovac,19.592,45.359,50
176,Beška,20.067,45.131,50
253,Svrljig,22.128,43.413,50
86,Topola,20.684,44.256,50
253,Čajetina,19.707,43.742,50
86,Vranjska Banja,21.995,42.557,50
363,Majdanpek,21.936,44.425,86
253,Sokobanja,21.875,43.643,50
253,Melenci,20.319,45.516,50
123,Bolec,20.606,44.732,50
363,Odžaci,19.258,45.505,50
123,Bavanište,20.874,44.82,50
86,Umka,20.312,44.683,50
86,Novo Miloševo,20.3,45.715,50
253,Veliko Gradište,21.514,44.762,50
363,Blace,21.287,43.298,50
72,Padina,20.726,45.117,50
