rs,name,lon,lat,r1
100000,Prishtinë,21.169,42.663,0
1081,Prizren,20.731,42.218,522
363,Mitrovicë,20.862,42.88,253
363,Gjilan-Popovicë,21.465,42.459,253
522,Pejë-Dardania,20.298,42.66,363
253,Ferizaj-Varosht,21.158,42.369,211
253,Gjakovë-Qendra Historike,20.433,42.378,253
253,Deçan,20.315,42.534,123
86,Gushicë,21.316,42.314,0
86,Vushtrri,20.971,42.824,86
253,Podujevë,21.195,42.909,147
72,Fushë Kosovë-Bresje,21.093,42.635,50
303,Gllogoc,21.126,42.514,123
103,Rahovec,20.655,42.401,0
253,Kuk,20.709,42.107,123
253,Vërmicë,20.76,42.539,147
123,Korishë-Dardani,20.78,42.274,60
147,Klinë,20.573,42.605,147
86,Kabash i Hasit,20.568,42.28,0
435,Kaçanik-Zeneli,21.257,42.234,86
253,Skënderaj,20.79,42.761,123
86,Obiliq,21.079,42.693,60
72,Gadime e Poshtme,21.203,42.476,60
176,Meliq,21.295,42.151,86
103,Shkozë,20.599,42.166,86
72,Sllatinë e Epërme,21.298,42.367,50
147,Stanofc i Ulët,21.037,42.752,50
176,Llashticë,21.486,42.376,86
123,Berisha-Sehishte,20.282,42.476,60
103,Mamushë,20.724,42.329,50
